TIME,WORKPLACE_ID,POPULATION_SIZE,AVERAGE_FITNESS,STEP_NUMBER,ENERGY_SUM
1603151169000,0,98,4.598372874607834,5079,2460.5126293687736
1603152169000,0,98,4.595290664864481,10478,2454.0089621934812
1603153169000,0,99,4.60768052410356,15843,2529.1482883750577
1603154169000,0,76,4.608023244728003,20914,1974.6076836456664
